term,TopCut_highestMinuslogP_up,maximum_MinuslogP_up,sum_MinuslogP_up,times_significant_up,FirstTopCut_significant_up,PEBBA_score_up
Interferon gamma signaling,1500,0.08829645270888385,0.11244589136157372,0.0,0,0.8121295780992708
Growth hormone receptor signaling,1500,0.3884538171863646,0.8398624671789356,0.0,0,0.8608440682523557
Prolactin receptor signaling,100,-0.0,0.0,0.0,0,0.5
Nuclear signaling by ERBB4,100,-0.0,0.0,0.0,0,0.5
NOTCH1 Intracellular Domain Regulates Transcription,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH1 in Cancer,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH1 PEST Domain Mutants in Cancer,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by NOTCH1 PEST Domain Mutants,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH1,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by NOTCH1 HD Domain Mutants,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH1 HD Domain Mutants in Cancer,100,-0.0,0.0,0.0,0,0.5
Activated NOTCH1 Transmits Signal to the Nucleus,100,-0.0,0.0,0.0,0,0.5
NOTCH2 Activation and Transmission of Signal to the Nucleus,100,-0.0,0.0,0.0,0,0.5
Signaling by NOTCH2,100,-0.0,0.0,0.0,0,0.5
Pre_NOTCH Transcription and Translation,100,-0.0,0.0,0.0,0,0.5
Pre_NOTCH Expression and Processing,100,-0.0,0.0,0.0,0,0.5
Pre_NOTCH Processing in Golgi,100,-0.0,0.0,0.0,0,0.5
NRIF signals cell death from the nucleus,100,-0.0,0.0,0.0,0,0.5
p75NTR signals via NF_kB,100,-0.0,0.0,0.0,0,0.5
TRAF6 mediated induction of TAK1 complex,900,0.29976109115315464,1.0847254735560456,0.0,0,0.8147511925369426
Budding and maturation of HIV virion,100,-0.0,0.0,0.0,0,0.5
Endosomal Sorting Complex Required For Transport ESCRT,100,-0.0,0.0,0.0,0,0.5
PinkslashParkin Mediated Mitophagy,100,-0.0,0.0,0.0,0,0.5
Mitophagy,100,-0.0,0.0,0.0,0,0.5
Fanconi Anemia Pathway,100,-0.0,0.0,0.0,0,0.5
Oncogene Induced Senescence,100,-0.0,0.0,0.0,0,0.5
G1 Phase,100,-0.0,0.0,0.0,0,0.5
Cyclin D associated events in G1,100,-0.0,0.0,0.0,0,0.5
SMAD2slashSMAD3:SMAD4 heterotrimer regulates transcription,100,-0.0,0.0,0.0,0,0.5
Transcriptional activity of SMAD2slashSMAD3:SMAD4 heterotrimer,100,-0.0,0.0,0.0,0,0.5
Signaling by TGF_beta Receptor Complex,100,-0.0,0.0,0.0,0,0.5
Downregulation of SMAD2slash3:SMAD4 transcriptional activity,100,-0.0,0.0,0.0,0,0.5
Oxygen_dependent proline hydroxylation of Hypoxia_inducible Factor Alpha,100,-0.0,0.0,0.0,0,0.5
Regulation of Hypoxia_inducible Factor HIF by oxygen,100,-0.0,0.0,0.0,0,0.5
Cellular response to hypoxia,100,-0.0,0.0,0.0,0,0.5
Glycogen synthesis,100,-0.0,0.0,0.0,0,0.5
Glycogen breakdown glycogenolysis,100,-0.0,0.0,0.0,0,0.5
Glucose metabolism,100,-0.0,0.0,0.0,0,0.5
Gluconeogenesis,100,-0.0,0.0,0.0,0,0.5
Glycolysis,100,-0.0,0.0,0.0,0,0.5
DARPP_32 events,100,-0.0,0.0,0.0,0,0.5
Negative regulation of MAPK pathway,100,-0.0,0.0,0.0,0,0.5
RAF activation,100,-0.0,0.0,0.0,0,0.5
CTLA4 inhibitory signaling,100,-0.0,0.0,0.0,0,0.5
Platelet sensitization by LDL,100,-0.0,0.0,0.0,0,0.5
S33 mutants of beta_catenin aren t phosphorylated,100,-0.0,0.0,0.0,0,0.5
S45 mutants of beta_catenin aren t phosphorylated,100,-0.0,0.0,0.0,0,0.5
phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex,100,-0.0,0.0,0.0,0,0.5
T41 mutants of beta_catenin aren t phosphorylated,100,-0.0,0.0,0.0,0,0.5
S37 mutants of beta_catenin aren t phosphorylated,100,-0.0,0.0,0.0,0,0.5
Misspliced GSK3beta mutants stabilize beta_catenin,100,-0.0,0.0,0.0,0,0.5
Beta_catenin phosphorylation cascade,100,-0.0,0.0,0.0,0,0.5
Disassembly of the destruction complex and recruitment of AXIN to the membrane,100,-0.0,0.0,0.0,0,0.5
Signaling by WNT in cancer,100,-0.0,0.0,0.0,0,0.5
Spry regulation of FGF signaling,100,-0.0,0.0,0.0,0,0.5
Negative regulation of FGFR4 signaling,100,-0.0,0.0,0.0,0,0.5
Negative regulation of FGFR3 signaling,100,-0.0,0.0,0.0,0,0.5
Negative regulation of FGFR2 signaling,100,-0.0,0.0,0.0,0,0.5
Negative regulation of FGFR1 signaling,100,-0.0,0.0,0.0,0,0.5
FGFR2 ligand binding and activation,100,-0.0,0.0,0.0,0,0.5
Activated point mutants of FGFR2,100,-0.0,0.0,0.0,0,0.5
FGFR1 ligand binding and activation,100,-0.0,0.0,0.0,0,0.5
SHC_mediated cascade:FGFR1,100,-0.0,0.0,0.0,0,0.5
SHC_mediated cascade:FGFR2,100,-0.0,0.0,0.0,0,0.5
SHC_mediated cascade:FGFR4,100,-0.0,0.0,0.0,0,0.5
SHC_mediated cascade:FGFR3,100,-0.0,0.0,0.0,0,0.5
Signaling by FGFR3 point mutants in cancer,100,-0.0,0.0,0.0,0,0.5
Signaling by FGFR3 in disease,100,-0.0,0.0,0.0,0,0.5
FGFR2 mutant receptor activation,100,-0.0,0.0,0.0,0,0.5
Signaling by FGFR2 in disease,100,-0.0,0.0,0.0,0,0.5
Signaling by FGFR in disease,100,-0.0,0.0,0.0,0,0.5
Signaling by FGFR1 in disease,100,-0.0,0.0,0.0,0,0.5
FGFR1 mutant receptor activation,100,-0.0,0.0,0.0,0,0.5
Signaling by cytosolic FGFR1 fusion mutants,100,-0.0,0.0,0.0,0,0.5
PI3KslashAKT Signaling in Cancer,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by Aberrant PI3K in Cancer,100,-0.0,0.0,0.0,0,0.5
PI5P PP2A and IER3 Regulate PI3KslashAKT Signaling,100,-0.0,0.0,0.0,0,0.5
Negative regulation of the PI3KslashAKT network,100,-0.0,0.0,0.0,0,0.5
CLEC7A Dectin_1 signaling,100,-0.0,0.0,0.0,0,0.5
Downstream TCR signaling,100,-0.0,0.0,0.0,0,0.5
Metabolism of polyamines,100,-0.0,0.0,0.0,0,0.5
Hedgehog  on  state,100,-0.0,0.0,0.0,0,0.5
Hedgehog  off  state,100,-0.0,0.0,0.0,0,0.5
TNFR2 non_canonical NF_kB pathway,100,-0.0,0.0,0.0,0,0.5
Degradation of beta_catenin by the destruction complex,100,-0.0,0.0,0.0,0,0.5
Antigen processing_Cross presentation,100,-0.0,0.0,0.0,0,0.5
ER_Phagosome pathway,100,-0.0,0.0,0.0,0,0.5
Autodegradation of Cdh1 by Cdh1:APCslashC,100,-0.0,0.0,0.0,0,0.5
APCslashC:Cdc20 mediated degradation of Securin,100,-0.0,0.0,0.0,0,0.5
APCslashC:Cdh1 mediated degradation of Cdc20 and other APCslashC:Cdh1 targeted proteins in late mitosisslashearly G1,100,-0.0,0.0,0.0,0,0.5
APCslashC_mediated degradation of cell cycle proteins,100,-0.0,0.0,0.0,0,0.5
Regulation of mitotic cell cycle,100,-0.0,0.0,0.0,0,0.5
Regulation of APCslashC activators between G1slashS and early anaphase,100,-0.0,0.0,0.0,0,0.5
Activation of APCslashC and APCslashC:Cdc20 mediated degradation of mitotic proteins,100,-0.0,0.0,0.0,0,0.5
APCslashC:Cdc20 mediated degradation of mitotic proteins,100,-0.0,0.0,0.0,0,0.5
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,100,-0.0,0.0,0.0,0,0.5
Cdc20:Phospho_APCslashC mediated degradation of Cyclin A,100,-0.0,0.0,0.0,0,0.5
Regulation of RAS by GAPs,100,-0.0,0.0,0.0,0,0.5
Activation of NF_kappaB in B cells,100,-0.0,0.0,0.0,0,0.5
Dectin_1 mediated noncanonical NF_kB signaling,100,-0.0,0.0,0.0,0,0.5
NIK__>noncanonical NF_kB signaling,100,-0.0,0.0,0.0,0,0.5
Degradation of GLI1 by the proteasome,100,-0.0,0.0,0.0,0,0.5
GLI3 is processed to GLI3R by the proteasome,100,-0.0,0.0,0.0,0,0.5
Degradation of GLI2 by the proteasome,100,-0.0,0.0,0.0,0,0.5
SCF_beta_TrCP mediated degradation of Emi1,100,-0.0,0.0,0.0,0,0.5
Vpu mediated degradation of CD4,100,-0.0,0.0,0.0,0,0.5
CDK_mediated phosphorylation and removal of Cdc6,100,-0.0,0.0,0.0,0,0.5
Ubiquitin_dependent degradation of Cyclin D1,100,-0.0,0.0,0.0,0,0.5
Ubiquitin_dependent degradation of Cyclin D,100,-0.0,0.0,0.0,0,0.5
Regulation of activated PAK_2p34 by proteasome mediated degradation,100,-0.0,0.0,0.0,0,0.5
Regulation of Apoptosis,100,-0.0,0.0,0.0,0,0.5
Autodegradation of the E3 ubiquitin ligase COP1,100,-0.0,0.0,0.0,0,0.5
Stabilization of p53,100,-0.0,0.0,0.0,0,0.5
p53_Independent DNA Damage Response,100,-0.0,0.0,0.0,0,0.5
p53_Independent G1slashS DNA damage checkpoint,100,-0.0,0.0,0.0,0,0.5
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,100,-0.0,0.0,0.0,0,0.5
Vif_mediated degradation of APOBEC3G,100,-0.0,0.0,0.0,0,0.5
AUF1 hnRNP D0 binds and destabilizes mRNA,100,-0.0,0.0,0.0,0,0.5
Degradation of AXIN,100,-0.0,0.0,0.0,0,0.5
Degradation of DVL,100,-0.0,0.0,0.0,0,0.5
Hh mutants that don t undergo autocatalytic processing are degraded by ERAD,100,-0.0,0.0,0.0,0,0.5
Hh mutants abrogate ligand secretion,100,-0.0,0.0,0.0,0,0.5
Hedgehog ligand biogenesis,100,-0.0,0.0,0.0,0,0.5
The role of GTSE1 in G2slashM progression after G2 checkpoint,100,-0.0,0.0,0.0,0,0.5
Cross_presentation of soluble exogenous antigens endosomes,100,-0.0,0.0,0.0,0,0.5
Regulation of ornithine decarboxylase ODC,100,-0.0,0.0,0.0,0,0.5
G1slashS DNA Damage Checkpoints,100,-0.0,0.0,0.0,0,0.5
p53_Dependent G1slashS DNA damage checkpoint,100,-0.0,0.0,0.0,0,0.5
p53_Dependent G1 DNA Damage Response,100,-0.0,0.0,0.0,0,0.5
SCFSkp2_mediated degradation of p27slashp21,100,-0.0,0.0,0.0,0,0.5
Cyclin A:Cdk2_associated events at S phase entry,100,-0.0,0.0,0.0,0,0.5
Cyclin E associated events during G1slashS transition,100,-0.0,0.0,0.0,0,0.5
Synthesis of DNA,100,-0.0,0.0,0.0,0,0.5
DNA Replication Pre_Initiation,100,-0.0,0.0,0.0,0,0.5
MslashG1 Transition,100,-0.0,0.0,0.0,0,0.5
Regulation of DNA replication,100,-0.0,0.0,0.0,0,0.5
Removal of licensing factors from origins,100,-0.0,0.0,0.0,0,0.5
Switching of origins to a post_replicative state,100,-0.0,0.0,0.0,0,0.5
Orc1 removal from chromatin,100,-0.0,0.0,0.0,0,0.5
Assembly of the pre_replicative complex,100,-0.0,0.0,0.0,0,0.5
CDT1 association with the CDC6:ORC:origin complex,100,-0.0,0.0,0.0,0,0.5
Regulation of mRNA stability by proteins that bind AU_rich elements,100,-0.0,0.0,0.0,0,0.5
MAPK6slashMAPK4 signaling,100,-0.0,0.0,0.0,0,0.5
Asymmetric localization of PCP proteins,100,-0.0,0.0,0.0,0,0.5
PCPslashCE pathway,100,-0.0,0.0,0.0,0,0.5
Deactivation of the beta_catenin transactivating complex,100,-0.0,0.0,0.0,0,0.5
APCslashC:Cdc20 mediated degradation of Cyclin B,100,-0.0,0.0,0.0,0,0.5
Phosphorylation of the APCslashC,100,-0.0,0.0,0.0,0,0.5
Conversion from APCslashC:Cdc20 to APCslashC:Cdh1 in late anaphase,100,-0.0,0.0,0.0,0,0.5
Mitotic Spindle Checkpoint,100,-0.0,0.0,0.0,0,0.5
Inhibition of the proteolytic activity of APCslashC required for the onset of anaphase by mitotic spindle checkpoint components,100,-0.0,0.0,0.0,0,0.5
Inactivation of APCslashC via direct inhibition of the APCslashC complex,100,-0.0,0.0,0.0,0,0.5
APC_Cdc20 mediated degradation of Nek2A,100,-0.0,0.0,0.0,0,0.5
Resolution of Sister Chromatid Cohesion,100,-0.0,0.0,0.0,0,0.5
PTK6 Regulates RHO GTPases RAS GTPase and MAP kinases,100,-0.0,0.0,0.0,0,0.5
Signaling by PTK6,100,-0.0,0.0,0.0,0,0.5
ERBB2 Regulates Cell Motility,100,-0.0,0.0,0.0,0,0.5
PI3K events in ERBB2 signaling,100,-0.0,0.0,0.0,0,0.5
GRB2 events in ERBB2 signaling,100,-0.0,0.0,0.0,0,0.5
SHC1 events in ERBB2 signaling,100,-0.0,0.0,0.0,0,0.5
Signaling by ERBB2,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by Ligand_Responsive EGFR Cancer Variants,100,-0.0,0.0,0.0,0,0.5
Signaling by Ligand_Responsive EGFR Variants in Cancer,100,-0.0,0.0,0.0,0,0.5
Signaling by EGFR in Cancer,100,-0.0,0.0,0.0,0,0.5
Signaling by EGFRvIII in Cancer,100,-0.0,0.0,0.0,0,0.5
Constitutive Signaling by EGFRvIII,100,-0.0,0.0,0.0,0,0.5
Tie2 Signaling,100,-0.0,0.0,0.0,0,0.5
TRAF6 mediated IRF7 activation,100,-0.0,0.0,0.0,0,0.5
RIG_IslashMDA5 mediated induction of IFN_alphaslashbeta pathways,100,-0.0,0.0,0.0,0,0.5
Negative regulators of RIG_IslashMDA5 signaling,100,-0.0,0.0,0.0,0,0.5
Diseases associated with the TLR signaling cascade,950,0.7067543167878418,7.275511161875145,0.034482758620689655,950,0.8791725870328108
Diseases of Immune System,950,0.7067543167878418,7.275511161875145,0.034482758620689655,950,0.8791725870328108
Cytosolic sensors of pathogen_associated DNA,100,-0.0,0.0,0.0,0,0.5
ZBP1DAI mediated induction of type I IFNs,100,-0.0,0.0,0.0,0,0.5
RIP_mediated NFkB activation via ZBP1,100,-0.0,0.0,0.0,0,0.5
TRAF6 mediated NF_kB activation,950,0.0410802519636159,0.0410802519636159,0.0,0,0.7648938173597957
TAK1 activates NFkB by phosphorylation and activation of IKKs complex,100,-0.0,0.0,0.0,0,0.5
JNK c_Jun kinases phosphorylation and  activation mediated by activated human TAK1,100,-0.0,0.0,0.0,0,0.5
activated TAK1 mediates p38 MAPK activation,100,-0.0,0.0,0.0,0,0.5
NOD1slash2 Signaling Pathway,650,0.3399352039292808,1.6741685765146472,0.0,0,0.7994606317635662
Nucleotide_binding domain leucine rich repeat containing receptor NLR signaling pathways,700,0.7224503410523735,9.232115079953601,0.06896551724137931,700,0.866814556020219
Interleukin_1 signaling,650,0.40851982925323316,3.0633408274171257,0.0,0,0.81275349591409
MAP3K8 TPL2_dependent MAPK1slash3 activation,100,-0.0,0.0,0.0,0,0.5
MyD88_independent TLR3slashTLR4 cascade,950,0.0410802519636159,0.0410802519636159,0.0,0,0.7648938173597957
Toll Like Receptor 3 TLR3 Cascade,950,0.0410802519636159,0.0410802519636159,0.0,0,0.7648938173597957
TRIF_mediated TLR3slashTLR4 signaling,950,0.0410802519636159,0.0410802519636159,0.0,0,0.7648938173597957
MyD88:Mal cascade initiated on plasma membrane,950,0.7067543167878418,5.197451353997278,0.034482758620689655,950,0.8791725870328108
Toll Like Receptor TLR1:TLR2 Cascade,950,0.7067543167878418,5.197451353997278,0.034482758620689655,950,0.8791725870328108
Toll Like Receptor TLR6:TLR2 Cascade,950,0.7067543167878418,5.197451353997278,0.034482758620689655,950,0.8791725870328108
Toll Like Receptor 2 TLR2 Cascade,950,0.7067543167878418,5.197451353997278,0.034482758620689655,950,0.8791725870328108
Toll Like Receptor 9 TLR9 Cascade,100,-0.0,0.0,0.0,0,0.5
MyD88 dependent cascade initiated on endosome,100,-0.0,0.0,0.0,0,0.5
Toll Like Receptor 7slash8 TLR7slash8 Cascade,100,-0.0,0.0,0.0,0,0.5
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7slash8 or 9 activation,100,-0.0,0.0,0.0,0,0.5
Toll Like Receptor 10 TLR10 Cascade,950,0.0842184024665972,0.09167739645637239,0.0,0,0.774820220622491
Toll Like Receptor 5 TLR5 Cascade,950,0.0842184024665972,0.09167739645637239,0.0,0,0.774820220622491
MyD88 cascade initiated on plasma membrane,950,0.0842184024665972,0.09167739645637239,0.0,0,0.774820220622491
TRAF6 Mediated Induction of proinflammatory cytokines,100,-0.0,0.0,0.0,0,0.5
MAP kinase activation in TLR cascade,100,-0.0,0.0,0.0,0,0.5
MAPK targetsslash Nuclear events mediated by MAP kinases,100,-0.0,0.0,0.0,0,0.5
Nuclear Events kinase and transcription factor activation,100,-0.0,0.0,0.0,0,0.5
ERKslashMAPK targets,100,-0.0,0.0,0.0,0,0.5
Activation of IRF3slashIRF7 mediated by TBK1slashIKK epsilon,900,0.24219543564612206,0.77430423081205,0.0,0,0.8037743088544507
IKK complex recruitment mediated by RIP1,950,0.02898752571521649,0.056761088484271256,0.0,0,0.762033482889391
Caspase activation via extrinsic apoptotic signalig pathway,1250,0.0066766235800495575,0.0066766235800495575,0.0,0,0.7809859575186533
Ligand_dependent caspase activation,1250,0.3469609112599105,1.3840345281394009,0.0,0,0.8441566149460545
Regulated Necrosis,100,-0.0,0.0,0.0,0,0.5
RIPK1_mediated regulated necrosis,100,-0.0,0.0,0.0,0,0.5
TNFR1_induced NFkappaB signaling pathway,100,-0.0,0.0,0.0,0,0.5
Regulation of TNFR1 signaling,100,-0.0,0.0,0.0,0,0.5
TNF signaling,100,-0.0,0.0,0.0,0,0.5
Death Receptor Signalling,100,-0.0,0.0,0.0,0,0.5
Anchoring of the basal body to the plasma membrane,750,0.2738184928768169,0.6308777500316116,0.0,0,0.7965903032239234
Centrosome maturation,750,0.40463908006904387,1.4507856859965629,0.0,0,0.8215333821796913
Recruitment of mitotic centrosome proteins and complexes,750,0.40463908006904387,1.4507856859965629,0.0,0,0.8215333821796913
Loss of Nlp from mitotic centrosomes,750,0.460298780269238,1.9082074879399213,0.0,0,0.8311953940002875
Loss of proteins required for interphase microtubule organization from the centrosome,750,0.460298780269238,1.9082074879399213,0.0,0,0.8311953940002875
AURKA Activation by TPX2,750,0.460298780269238,1.8366490527982804,0.0,0,0.8311953940002875
Regulation of PLK1 Activity at G2slashM Transition,750,0.460298780269238,2.5289326155528054,0.0,0,0.8311953940002875
Polo_like kinase mediated events,100,-0.0,0.0,0.0,0,0.5
Cyclin AslashB1 associated events during G2slashM transition,100,-0.0,0.0,0.0,0,0.5
WNT ligand biogenesis and trafficking,100,-0.0,0.0,0.0,0,0.5
Negative regulation of TCF_dependent signaling by WNT ligand antagonists,100,-0.0,0.0,0.0,0,0.5
Regulation of FZD by ubiquitination,100,-0.0,0.0,0.0,0,0.5
Adherens junctions interactions,100,-0.0,0.0,0.0,0,0.5
Cell_cell junction organization,700,0.020385376178069875,0.05448504861762892,0.0,0,0.7312430505360428
Cell junction organization,100,-0.0,0.0,0.0,0,0.5
Tight junction interactions,100,-0.0,0.0,0.0,0,0.5
Cell_extracellular matrix interactions,100,-0.0,0.0,0.0,0,0.5
Basigin interactions,100,-0.0,0.0,0.0,0,0.5
Nephrin interactions,100,-0.0,0.0,0.0,0,0.5
Netrin_1 signaling,100,-0.0,0.0,0.0,0,0.5
Regulation of KIT signaling,100,-0.0,0.0,0.0,0,0.5
CD209 DC_SIGN signaling,100,-0.0,0.0,0.0,0,0.5
Rap1 signalling,100,-0.0,0.0,0.0,0,0.5
MAP2K and MAPK activation,100,-0.0,0.0,0.0,0,0.5
GRB2:SOS provides linkage to MAPK signaling for Integrins,100,-0.0,0.0,0.0,0,0.5
p130Cas linkage to MAPK signaling for integrins,100,-0.0,0.0,0.0,0,0.5
Integrin alphaIIb beta3 signaling,100,-0.0,0.0,0.0,0,0.5
Platelet Aggregation Plug Formation,100,-0.0,0.0,0.0,0,0.5
Other semaphorin interactions,100,-0.0,0.0,0.0,0,0.5
Semaphorin interactions,100,-0.0,0.0,0.0,0,0.5
CRMPs in Sema3A signaling,100,-0.0,0.0,0.0,0,0.5
Sema3A PAK dependent Axon repulsion,100,-0.0,0.0,0.0,0,0.5
Ephrin signaling,100,-0.0,0.0,0.0,0,0.5
EPHB_mediated forward signaling,100,-0.0,0.0,0.0,0,0.5
EPH_Ephrin signaling,100,-0.0,0.0,0.0,0,0.5
EPH_ephrin mediated repulsion of cells,100,-0.0,0.0,0.0,0,0.5
EPHA_mediated growth cone collapse,100,-0.0,0.0,0.0,0,0.5
RHO GTPases activate PAKs,100,-0.0,0.0,0.0,0,0.5
RHO GTPases activate CIT,100,-0.0,0.0,0.0,0,0.5
RHO GTPases Activate ROCKs,100,-0.0,0.0,0.0,0,0.5
Sema4D induced cell migration and growth_cone collapse,100,-0.0,0.0,0.0,0,0.5
Sema4D in semaphorin signaling,100,-0.0,0.0,0.0,0,0.5
Signaling by Robo receptor,100,-0.0,0.0,0.0,0,0.5
Myogenesis,100,-0.0,0.0,0.0,0,0.5
CDO in myogenesis,100,-0.0,0.0,0.0,0,0.5
RHO GTPases Activate WASPs and WAVEs,100,-0.0,0.0,0.0,0,0.5
Regulation of actin dynamics for phagocytic cup formation,100,-0.0,0.0,0.0,0,0.5
Role of phospholipids in phagocytosis,100,-0.0,0.0,0.0,0,0.5
FCGR activation,100,-0.0,0.0,0.0,0,0.5
Classical antibody_mediated complement activation,100,-0.0,0.0,0.0,0,0.5
Creation of C4 and C2 activators,100,-0.0,0.0,0.0,0,0.5
Initial triggering of complement,100,-0.0,0.0,0.0,0,0.5
Complement cascade,1150,0.4974262681961858,5.720229132544361,0.0,0,0.8615188181922231
Binding and Uptake of Ligands by Scavenger Receptors,100,-0.0,0.0,0.0,0,0.5
Scavenging of heme from plasma,100,-0.0,0.0,0.0,0,0.5
FCERI mediated Ca+2 mobilization,100,-0.0,0.0,0.0,0,0.5
CD22 mediated BCR regulation,100,-0.0,0.0,0.0,0,0.5
Antigen activates B Cell Receptor BCR leading to generation of second messengers,100,-0.0,0.0,0.0,0,0.5
Regulation of Complement cascade,700,0.7224503410523735,9.546639525773136,0.06896551724137931,700,0.866814556020219
Metabolism of Angiotensinogen to Angiotensins,100,-0.0,0.0,0.0,0,0.5
Regulation of Insulin_like Growth Factor IGF transport and uptake by Insulin_like Growth Factor Binding Proteins IGFBPs,100,-0.0,0.0,0.0,0,0.5
Synthesis secretion and inactivation of Glucagon_like Peptide_1 GLP_1,100,-0.0,0.0,0.0,0,0.5
Incretin synthesis secretion and inactivation,100,-0.0,0.0,0.0,0,0.5
Synthesis secretion and deacylation of Ghrelin,100,-0.0,0.0,0.0,0,0.5
Peptide hormone metabolism,100,-0.0,0.0,0.0,0,0.5
Insulin processing,100,-0.0,0.0,0.0,0,0.5
VxPx cargo_targeting to cilium,100,-0.0,0.0,0.0,0,0.5
Cargo trafficking to the periciliary membrane,100,-0.0,0.0,0.0,0,0.5
BBSome_mediated cargo_targeting to cilium,100,-0.0,0.0,0.0,0,0.5
Cooperation of PDCL PhLP1 and TRiCslashCCT in G_protein beta folding,100,-0.0,0.0,0.0,0,0.5
Chaperonin_mediated protein folding,100,-0.0,0.0,0.0,0,0.5
Association of TriCslashCCT with target proteins during biosynthesis,100,-0.0,0.0,0.0,0,0.5
Prefoldin mediated transfer of substrate  to CCTslashTriC,100,-0.0,0.0,0.0,0,0.5
Cooperation of Prefoldin and TriCslashCCT  in actin and tubulin folding,750,0.18513620930179156,0.41686191438416964,0.0,0,0.7777274260121428
Formation of tubulin folding intermediates by CCTslashTriC,750,0.40463908006904387,2.826600372629277,0.0,0,0.8215333821796913
Post_chaperonin tubulin folding pathway,950,0.7067543167878418,7.321193398441713,0.034482758620689655,950,0.8791725870328108
Regulation of signaling by CBL,100,-0.0,0.0,0.0,0,0.5
GPVI_mediated activation cascade,100,-0.0,0.0,0.0,0,0.5
G beta:gamma signalling through PI3Kgamma,100,-0.0,0.0,0.0,0,0.5
G_protein beta:gamma signalling,100,-0.0,0.0,0.0,0,0.5
Class Bslash2 Secretin family receptors,100,-0.0,0.0,0.0,0,0.5
Ca2+ pathway,100,-0.0,0.0,0.0,0,0.5
Activation of Kainate Receptors upon glutamate binding,100,-0.0,0.0,0.0,0,0.5
Presynaptic function of Kainate receptors,100,-0.0,0.0,0.0,0,0.5
G beta:gamma signalling through PLC beta,100,-0.0,0.0,0.0,0,0.5
Prostacyclin signalling through prostacyclin receptor,100,-0.0,0.0,0.0,0,0.5
ADP signalling through P2Y purinoceptor 12,100,-0.0,0.0,0.0,0,0.5
G_protein activation,100,-0.0,0.0,0.0,0,0.5
Adrenalinenoradrenaline inhibits insulin secretion,100,-0.0,0.0,0.0,0,0.5
Signal amplification,100,-0.0,0.0,0.0,0,0.5
ADP signalling through P2Y purinoceptor 1,100,-0.0,0.0,0.0,0,0.5
Thromboxane signalling through TP receptor,100,-0.0,0.0,0.0,0,0.5
Thrombin signalling through proteinase activated receptors PARs,100,-0.0,0.0,0.0,0,0.5
Glucagon_type ligand receptors,100,-0.0,0.0,0.0,0,0.5
Glucagon_like Peptide_1 GLP1 regulates insulin secretion,100,-0.0,0.0,0.0,0,0.5
Regulation of insulin secretion,100,-0.0,0.0,0.0,0,0.5
Opioid Signalling,100,-0.0,0.0,0.0,0,0.5
Glucagon signaling in metabolic regulation,100,-0.0,0.0,0.0,0,0.5
Vasopressin regulates renal water homeostasis via Aquaporins,100,-0.0,0.0,0.0,0,0.5
Aquaporin_mediated transport,100,-0.0,0.0,0.0,0,0.5
G alpha z signalling events,100,-0.0,0.0,0.0,0,0.5
GABA receptor activation,100,-0.0,0.0,0.0,0,0.5
GABA B receptor activation,100,-0.0,0.0,0.0,0,0.5
Activation of GABAB receptors,100,-0.0,0.0,0.0,0,0.5
Activation of G protein gated Potassium channels,100,-0.0,0.0,0.0,0,0.5
Inhibition  of voltage gated Ca2+ channels via Gbetaslashgamma subunits,100,-0.0,0.0,0.0,0,0.5
G protein gated Potassium channels,100,-0.0,0.0,0.0,0,0.5
Inwardly rectifying K+ channels,100,-0.0,0.0,0.0,0,0.5
Potassium Channels,100,-0.0,0.0,0.0,0,0.5
Voltage gated Potassium channels,100,-0.0,0.0,0.0,0,0.5
Activation of NMDA receptor upon glutamate binding and postsynaptic events,100,-0.0,0.0,0.0,0,0.5
Post NMDA receptor activation events,100,-0.0,0.0,0.0,0,0.5
CREB phosphorylation through the activation of Ras,100,-0.0,0.0,0.0,0,0.5
Ras activation uopn Ca2+ infux through NMDA receptor,100,-0.0,0.0,0.0,0,0.5
CREB phosphorylation through the activation of CaMKII,100,-0.0,0.0,0.0,0,0.5
Unblocking of NMDA receptor glutamate binding and activation,100,-0.0,0.0,0.0,0,0.5
SALM protein interactions at the synapse,100,-0.0,0.0,0.0,0,0.5
Phospholipase C_mediated cascade: FGFR1,100,-0.0,0.0,0.0,0,0.5
Phospholipase C_mediated cascade FGFR2,100,-0.0,0.0,0.0,0,0.5
Phospholipase C_mediated cascade FGFR3,100,-0.0,0.0,0.0,0,0.5
Phospholipase C_mediated cascade FGFR4,100,-0.0,0.0,0.0,0,0.5
EGFR interacts with phospholipase C_gamma,100,-0.0,0.0,0.0,0,0.5
DAG and IP3 signaling,100,-0.0,0.0,0.0,0,0.5
